,company,job title,location,job description,salary estimate,company_size,company_type,company_sector,company_industry,company_founded,company_revenue
73,"Uber
4.0",Senior Data Scientist - Platform Engineering,"San Francisco, CA","As a Senior Data Scientist in the Platform Engineering organization, you get to use your quantitative skill, obsession, and empathy towards customers, and collaborative spirit to work closely with Product Management, Engineering, and fellow Data Scientists to provide data-driven insights to find new opportunities to take our development experience to the next level.",$10+ billion (USD),10000+ Employees,Company - Public,Information Technology,Internet & Web Services,2009,$10+ billion (USD)
74,"Zoom Video Communications, Inc.
4.2",Machine Learning Engineer,"San Francisco, CA",,$5 to $25 million (USD),5001 to 10000 Employees,Company - Public,Information Technology,Information Technology Support Services,2011,$5 to $25 million (USD)
75,"WarnerMedia
3.9",Senior Data Scientist,"San Francisco, CA",,$10+ billion (USD),10000+ Employees,Company - Public,Media & Communication,Film Production,2003,$10+ billion (USD)
76,"Nightfall AI
4.8","Data Scientist (Deep Learning, ML, NLP)","San Francisco, CA","As an early Data Scientist at Nightfall, you'll design & implement models that enable us to detect sensitive data with high accuracy across petabytes of heterogeneous & unstructured data.",Unknown / Non-Applicable,1 to 50 Employees,Company - Private,#N/A,#N/A,#N/A,Unknown / Non-Applicable
77,"Atlassian
4.7","Principal Data Scientist, Customer Analytics","Mountain View, CA","Working at Atlassian

Atlassian can hire people in any country where we have a legal entity. Assuming you have eligible working rights and a sufficient time zone overlap with your team, you can choose to work remotely or return to an office as they reopen (unless it’s necessary for your role to be performed in the office). Interviews and onboarding are conducted virtually, a part of being a distributed-first company.

Your future team
The Customer Analytics team at Atlassian delivers insights about our customers throughout their lifecycle with Atlassian. We define and maintain a customer health score, provide insights on customer engagement, build and deploy models to predict potential churn and expansion. We design analytical frameworks to understand different parts of the customer journey, help customers get more value from our product suite and develop insights on the multi-year effort to transition server customers to Cloud. This team partners with other analytics teams and plays a huge role in important programs improving the business. We are a collaborative team with a high bar for analytical rigor, and we love to have fun along the way. We are looking for a top-tier data scientist to be an important contributor to the customer analytics team.
What you'll do
You will help build customer profiles and deliver meaningful insights to improve the efficacy of go-to-market (GTM) and Product programs
You will partner with Atlassian's Enterprise Growth, Product Analytics and Customer Success teams to improve Onboarding, Adoption, Expansion and Retention across our product portfolio
Involved in identifying positive and negative triggers related to product usage and workflows, coming up with data-driven recommendations for programs, defining evaluation metrics, designing experiments, analyzing results to understand the efficacy of the projects and building interactive dashboards to track and understand progress
Be a partner to the Enterprise Growth and CSI team and work with the broader Analytics organization to deliver customer insights
You will mentor senior data scientists and independently guide work with product managers
Your background
9+ years of experience in analytics or related fields
Understand and analyzing digital campaigns at scale - Pre-Post Analysis, A/B testing
Expertise in SQL and proficiency in another data programming language (Python, R)
Create raw data and analysis into well-written content
Experience designing and analyzing experiments that impact product decisions
Passionate about customer experience, and customer analytics as a craft
Share analyses and recommendations to non-technical audiences
Understanding of machine learning techniques such as Regression, Clustering, Decision Trees, Gradient Boosting Machines

Our perks & benefits

To support you at work and play, our perks and benefits include ample time off, an annual education budget, paid volunteer days, and so much more.

About Atlassian

The world’s best teams work better together with Atlassian. From medicine and space travel, to disaster response and pizza deliveries, Atlassian software products help teams all over the planet. At Atlassian, we're motivated by a common goal: to unleash the potential of every team.

We believe that the unique contributions of all Atlassians create our success. To ensure that our products and culture continue to incorporate everyone's perspectives and experience, we never discriminate based on race, religion, national origin, gender identity or expression, sexual orientation, age, or marital, veteran, or disability status. All your information will be kept confidential according to EEO guidelines.

To learn more about our culture and hiring process, explore our Candidate Resource Hub.",Unknown / Non-Applicable,5001 to 10000 Employees,Company - Public,Information Technology,Software Development,2002,Unknown / Non-Applicable
78,"Tesla
3.6","Sr Data Scientist, Driving Safety","Fremont, CA",Tesla's mission is to accelerate the world's transition to sustainable energy. Tesla Insurance Services supports this mission by reducing the cost of ownership of Tesla vehicles through reduced insurance costs. The Business Analytics data science team contributes to these goals by developing and improving the Safety Score model. The Safety Score enables Tesla to provide cost effective insurance by identifying risky drivers using telematics data from their vehicles and to promote safer driving by providing real time feedback to drivers.,$2 to $5 billion (USD),10000+ Employees,Company - Public,Manufacturing,Transportation Equipment Manufacturing,2003,$2 to $5 billion (USD)
79,"American Heart Association
4.1",Data Science Analyst,"Oakland, CA","Now is the time to join us and make a difference. Be a relentless force for a world of longer, healthier lives. Here at the American Heart Association, you matter and so does your career.",$500 million to $1 billion (USD),1001 to 5000 Employees,Non-profit Organisation,Non-profit & NGO,Grantmaking & Charitable Foundations,1924,$500 million to $1 billion (USD)
80,"City and County of San Francisco
3.6","Sr. Research, Evaluation, & Data Analyst (1823)","San Francisco, CA","Who We Are. Join our team and help the Department of Children, Youth and Their Families (DCYF) make San Francisco a great place to grow up!",Unknown / Non-Applicable,Unknown,Government,Government & Public Administration,Regional Agencies,#N/A,Unknown / Non-Applicable
81,"King.com
3.9",Staff Data Scientist,"San Francisco, CA",,Unknown / Non-Applicable,1001 to 5000 Employees,Company - Public,Media & Communication,Video Game Publishing,2003,Unknown / Non-Applicable
82,"Twitch Interactive, Inc.
3.8","Data Scientist, Analytics II #0000","San Francisco, CA",,$10+ billion (USD),10000+ Employees,Company - Public,Information Technology,Internet & Web Services,1994,$10+ billion (USD)
83,"Mozilla
4.0",Product Data Scientist (Senior and Staff Levels),"San Francisco, CA","As a Product Data Scientist, you will work closely with the product and marketing organization. You are an inquisitive thinker who is keen to practice full-stack data science, with experience ranging from designing and engineering data extraction processes to finding patterns and anomalies in data through analytical techniques. You have strong interest in honing your technical skills further on real-world data. You believe that data science can lead to insights that can guide the future of Mozilla. You will apply your expertise in quantitative analysis, statistical modeling, and data visualization to see beyond the numbers and understand how our worldwide community experiences our products.",$100 to $500 million (USD),501 to 1000 Employees,Company - Private,Information Technology,Computer Hardware Development,2005,$100 to $500 million (USD)
84,"Stanford University
4.3",Research Data Analyst,"Stanford, CA",,$10+ billion (USD),10000+ Employees,College / University,Education,Colleges & Universities,1891,$10+ billion (USD)
85,"Ford Motor Company
4.1",Research Scientist - Machine Learning for Computer Vision,"Palo Alto, CA","Ford’s Research and Advanced Engineering team explores new vehicle and societal innovations that require some level of invention before they can be applied to our products and services. The team is building on a history of Ford innovation, including our invention of the three-way catalytic converter to modernize vehicle emissions controls in the 1970s and the world’s first rear inflatable seat belts in 2010.",$10+ billion (USD),10000+ Employees,Company - Public,Manufacturing,Transportation Equipment Manufacturing,1903,$10+ billion (USD)
86,"Snapchat
3.9",Engineering Data Scientist,"Palo Alto, CA",,Unknown / Non-Applicable,5001 to 10000 Employees,Company - Public,Information Technology,Computer Hardware Development,2011,Unknown / Non-Applicable
87,"SquareTrade
4.0",Data Analyst / Senior Data Analyst,"Brisbane, CA","SquareTrade is the fastest growing company of its kind. We’re revolutionizing a $30b industry with service innovation and attention to customer satisfaction. We partner with some of the largest, most sophisticated retailers and carriers in the world (Walmart, Target, Amazon, Costco, and T-Mobile to name a few), consistently win industry awards, have received tens of thousands of 5-star reviews… and we’re just getting started. A member of the Allstate family, SquareTrade has headquarters in San Francisco and London. We are currently expanding in Europe and Asia Pacific, including Japan and Australia.",$2 to $5 billion (USD),201 to 500 Employees,Company - Private,Insurance,Insurance Carriers,1999,$2 to $5 billion (USD)
88,"C3 AI
4.1",Data Scientist / Senior Data Scientist,"Redwood City, CA","As a member of the C3 AI Data Science team, you will work with some of the largest companies on the planet helping them build the next generation of AI-powered enterprise applications on the C3 AI Suite (c3.ai/customers/). You will work directly with data scientists, software engineers, and subject matter experts in the definition of new analytics capabilities able to provide our customers with the information they need to make proper decisions and enable their digital transformation. You will help find the appropriate machine learning/data mining algorithms to answer those questions and implement those on the C3 AI Suite so they can run at scale.",$100 to $500 million (USD),501 to 1000 Employees,Company - Public,Information Technology,Enterprise Software & Network Solutions,2009,$100 to $500 million (USD)
89,Atomic AI,"Scientist, Machine Learning","South San Francisco, CA",Science,Unknown / Non-Applicable,1 to 50 Employees,Company - Private,Pharmaceutical & Biotechnology,Biotech & Pharmaceuticals,2021,Unknown / Non-Applicable
90,"Uber
4.0",Senior Data Scientist - Platform Engineering,"San Francisco, CA","As a Senior Data Scientist in the Platform Engineering organization, you get to use your quantitative skill, obsession, and empathy towards customers, and collaborative spirit to work closely with Product Management, Engineering, and fellow Data Scientists to provide data-driven insights to find new opportunities to take our development experience to the next level.",$10+ billion (USD),10000+ Employees,Company - Public,Information Technology,Internet & Web Services,2009,$10+ billion (USD)
91,"Apple
4.2",Senior Deep Learning Compiler Engineer,"Cupertino, CA","Posted: Oct 17, 2022
Role Number:200436475
We live in a mobile and device driven world, where Deep Learning technology enables a new class of applications. Are you passionate about enabling unique user experience such as Face ID, Animoji, AR games? Imagine the countless possibilities powered by Artificial Intelligence. In the Video Engineering team, we are dedicated in providing hardware acceleration using the new proprietary Apple Neural Engine SOC to enable real time, low power and high performance execution of Deep Learning workloads. Our success is the result of very talented people working in an environment which cultivates creativity, partnership and cross functional collaboration. These elements come together to make Apple an amazing environment for motivated people to do the greatest work of their lives. Will you help us design the next generation of revolutionary Apple Products?",$10+ billion (USD),10000+ Employees,Company - Public,Information Technology,Computer Hardware Development,1976,$10+ billion (USD)
92,"Wayfair
3.3","Machine Learning Scientist, Personalization","Mountain View, CA","Wayfair Science powers automation and decision support across all Wayfair business units. Our algorithms tackle a varied and broad spectrum of challenges in the Wayfair marketplace; from empowering suppliers to easily add products to our catalog, to enabling our customers to discover and purchase a vast and diverse assortment of home goods.",$5 to $10 billion (USD),10000+ Employees,Company - Public,Retail & Wholesale,Home Furniture & Housewares Stores,2002,$5 to $10 billion (USD)
93,"Faire
4.8",Senior Data Scientist - Search & Recommendation,"San Francisco, CA","Faire is an online wholesale marketplace built on the belief that the future is local — there are over 2 million independent retailers in North America and Europe doing more than $2 trillion in revenue. At Faire, we're using the power of tech, data, and machine learning to connect this thriving community of entrepreneurs across the globe. Picture your favorite boutique in town — we help them discover the best products from around the world to sell in their stores. With the right tools and insights, we believe that we can level the playing field so that small businesses everywhere can compete with these big box and e-commerce giants.",Unknown / Non-Applicable,501 to 1000 Employees,Company - Private,Retail & Wholesale,Wholesale,2017,Unknown / Non-Applicable
94,"Atlassian
4.7","Principal Data Scientist, Customer Analytics","Mountain View, CA","Working at Atlassian

Atlassian can hire people in any country where we have a legal entity. Assuming you have eligible working rights and a sufficient time zone overlap with your team, you can choose to work remotely or return to an office as they reopen (unless it’s necessary for your role to be performed in the office). Interviews and onboarding are conducted virtually, a part of being a distributed-first company.

Your future team
The Customer Analytics team at Atlassian delivers insights about our customers throughout their lifecycle with Atlassian. We define and maintain a customer health score, provide insights on customer engagement, build and deploy models to predict potential churn and expansion. We design analytical frameworks to understand different parts of the customer journey, help customers get more value from our product suite and develop insights on the multi-year effort to transition server customers to Cloud. This team partners with other analytics teams and plays a huge role in important programs improving the business. We are a collaborative team with a high bar for analytical rigor, and we love to have fun along the way. We are looking for a top-tier data scientist to be an important contributor to the customer analytics team.
What you'll do
You will help build customer profiles and deliver meaningful insights to improve the efficacy of go-to-market (GTM) and Product programs
You will partner with Atlassian's Enterprise Growth, Product Analytics and Customer Success teams to improve Onboarding, Adoption, Expansion and Retention across our product portfolio
Involved in identifying positive and negative triggers related to product usage and workflows, coming up with data-driven recommendations for programs, defining evaluation metrics, designing experiments, analyzing results to understand the efficacy of the projects and building interactive dashboards to track and understand progress
Be a partner to the Enterprise Growth and CSI team and work with the broader Analytics organization to deliver customer insights
You will mentor senior data scientists and independently guide work with product managers
Your background
9+ years of experience in analytics or related fields
Understand and analyzing digital campaigns at scale - Pre-Post Analysis, A/B testing
Expertise in SQL and proficiency in another data programming language (Python, R)
Create raw data and analysis into well-written content
Experience designing and analyzing experiments that impact product decisions
Passionate about customer experience, and customer analytics as a craft
Share analyses and recommendations to non-technical audiences
Understanding of machine learning techniques such as Regression, Clustering, Decision Trees, Gradient Boosting Machines

Our perks & benefits

To support you at work and play, our perks and benefits include ample time off, an annual education budget, paid volunteer days, and so much more.

About Atlassian

The world’s best teams work better together with Atlassian. From medicine and space travel, to disaster response and pizza deliveries, Atlassian software products help teams all over the planet. At Atlassian, we're motivated by a common goal: to unleash the potential of every team.

We believe that the unique contributions of all Atlassians create our success. To ensure that our products and culture continue to incorporate everyone's perspectives and experience, we never discriminate based on race, religion, national origin, gender identity or expression, sexual orientation, age, or marital, veteran, or disability status. All your information will be kept confidential according to EEO guidelines.

To learn more about our culture and hiring process, explore our Candidate Resource Hub.",Unknown / Non-Applicable,5001 to 10000 Employees,Company - Public,Information Technology,Software Development,2002,Unknown / Non-Applicable
95,"Atlassian
4.7","Data Scientist, Data Analytics Engineering","San Francisco, CA","Working at Atlassian

Atlassian can hire people in any country where we have a legal entity. Assuming you have eligible working rights and a sufficient time zone overlap with your team, you can choose to work remotely or return to an office as they reopen (unless it’s necessary for your role to be performed in the office). Interviews and onboarding are conducted virtually, a part of being a distributed-first company.

Your future team
Do you have experience examining complex data and turning it into useful information and insights? Do you love finding the next big 'aha' insight which changes the way a business thinks about their customers? Would you like to lead change with global impact at the world's hottest SaaS company?
Atlassian is looking for a data quality expert to join our Marketing Analytics team as a Data Scientist, Data Analytics Engineering. We're looking for someone with business instincts and analytics mastery, who is passionate about applying these skills to lead smarter data decisions and delight our customers. You'll build scalable marketing analytics data products and pipelines. You'll do this by partnering with analytics and data engineering experts to understand the business and data landscape and build a data foundations roadmap.
What you'll do
Manage marketing analytics data product programs and pipelines (such as attribution or paid performance pipeline).
Build productized data assets that meet customer needs that are scalable enough to grow
Oversee data requirement gathering (including metrics and definitions alignment), establishing acceptance criteria, QAing, and testing for new products from start to finish to ensure everything is implemented and validated.
Prioritize improvements and complete deep dives that build short-term improvements while partnering with broader data engineering team to define long-term road map
Establish documentation for data product assets
Partner with marketing analytics and data engineering leadership to achieve ""the best"" data models and products
Guide demos sessions and education roll out for new data products and features to ensure adoption and usage
Your background
3+ years working with data analysis and engineering
An Agile development mindset, appreciating the benefit of constant iteration and improvement. A very high bar for output quality, while balancing ""having something now"" vs. ""perfection in the future""
Expertise in data modeling, (e.g. SQL, Python), knowledge of cloud data environments (e.g. AWS), and experience with data ETLs and UAT processes
Strength in one or more visualization tools (Tableau, R-Shiny, etc)
An understanding of the SaaS development, business model and metrics
Familiarity working with Product Management, Engineering, Design, Customer Research and Data Engineering teams
A degree in a quantitative discipline (e.g. statistics, mathematics, physics, econometrics, or computer science)

Our perks & benefits

To support you at work and play, our perks and benefits include ample time off, an annual education budget, paid volunteer days, and so much more.

About Atlassian

The world’s best teams work better together with Atlassian. From medicine and space travel, to disaster response and pizza deliveries, Atlassian software products help teams all over the planet. At Atlassian, we're motivated by a common goal: to unleash the potential of every team.

We believe that the unique contributions of all Atlassians create our success. To ensure that our products and culture continue to incorporate everyone's perspectives and experience, we never discriminate based on race, religion, national origin, gender identity or expression, sexual orientation, age, or marital, veteran, or disability status. All your information will be kept confidential according to EEO guidelines.

Pursuant to the San Francisco Fair Chance Ordinance, we will consider for employment qualified applicants with arrest and conviction records.

To learn more about our culture and hiring process, explore our Candidate Resource Hub.",Unknown / Non-Applicable,5001 to 10000 Employees,Company - Public,Information Technology,Software Development,2002,Unknown / Non-Applicable
96,"Snapchat
3.9","Engineering Data Scientist, Ad Ranking","Palo Alto, CA",Snapchat,Unknown / Non-Applicable,5001 to 10000 Employees,Company - Public,Information Technology,Computer Hardware Development,2011,Unknown / Non-Applicable
97,"Apple
4.2",Tech Lead: Data centric Machine Learning,"Cupertino, CA","Posted: Oct 10, 2022
Role Number:200433746
Apple's Video Engineering team (VE) delivers CVML based algorithms for ground breaking features such as augmented reality (AR), Cinematic Video, RoomPlan, FaceID and Animoji. All of these features depend on high quality data collection, data understanding, and data curation. In this position, you will use modern techniques in Deep Learning to enable such high-quality on-device algorithms. You will work on the design of data collection protocols, analysis and curation of collected data, creation of ML-based Core Datasets, and closing the feedback loop between trained model performance and new dataset requirements. Your goal is to help bridge the gap from “it works” to “it's magical”. As a member of the fast-paced algorithm development team, you will have the rewarding opportunity to shape upcoming products that will delight and inspire millions of people every day.",$10+ billion (USD),10000+ Employees,Company - Public,Information Technology,Computer Hardware Development,1976,$10+ billion (USD)
98,"Databricks
4.6",Staff Data Scientist,"San Francisco, CA","At Databricks, we are obsessed with enabling data teams to solve the world's toughest problems, from security threat detection to cancer drug development. We do this by building and running the world's best data and AI infrastructure platform, so our customers can focus on the high value challenges that are central to their own missions.",Unknown / Non-Applicable,1001 to 5000 Employees,Company - Private,Information Technology,Computer Hardware Development,2013,Unknown / Non-Applicable
99,"Reddit
4.2","Staff/Principal Data Scientist, Ads Machine Learning","San Francisco, CA","We are looking for a Staff or Principal level Machine Learning Data Scientist to lead the Ads Quality team. You will work closely with engineers and product owners from our Ads team to 1) set up the vision and product strategy of ads quality and relevance, 2) optimize ads delivery and auction systems through utility function design, 3) measure various marketplace tradeoffs. This person is an industry leader in the online ads marketplace optimization domain with a solid technical background, strong business acumen, and excellent cross-functional stakeholders management skills.",Unknown / Non-Applicable,201 to 500 Employees,Company - Private,Information Technology,Internet & Web Services,2005,Unknown / Non-Applicable
100,"Parafin
4.4","Data Scientist, Analytics","San Francisco, CA","At Parafin, our mission is to grow small businesses. Small businesses are the backbone of our economy, yet banks do not have their back. Parafin is a technology company that builds infrastructure which enables small businesses to get easy access to financial services via platforms they sell on.",Unknown / Non-Applicable,1 to 50 Employees,Company - Private,Finance,Financial Transaction Processing,2020,Unknown / Non-Applicable
101,"Ladder
4.5","Data Scientist, Product Analytics","Palo Alto, CA","We saw a problem within the life insurance industry: getting covered took too long, involved too much paperwork, and required too many in-person meetings with salesy agents. Having lost his father at a young age, our CEO, Jamie, was determined to make it easier for people to get the coverage they needed to provide for their families. So, we got to work. We developed a method of real-time underwriting and, in doing so, reduced the months-long process of applying for life insurance to minutes. Our digital experience is quick (instant decisions!), loved by users (check out our Trustpilot or Google reviews) and prolific ($34 billion+ in coverage provided).",Unknown / Non-Applicable,1 to 50 Employees,Company - Private,Personal Consumer Services,Beauty & Wellness,2016,Unknown / Non-Applicable
102,"Tesla
3.6","Sr Data Scientist, Driving Safety","Fremont, CA",Tesla's mission is to accelerate the world's transition to sustainable energy. Tesla Insurance Services supports this mission by reducing the cost of ownership of Tesla vehicles through reduced insurance costs. The Business Analytics data science team contributes to these goals by developing and improving the Safety Score model. The Safety Score enables Tesla to provide cost effective insurance by identifying risky drivers using telematics data from their vehicles and to promote safer driving by providing real time feedback to drivers.,$2 to $5 billion (USD),10000+ Employees,Company - Public,Manufacturing,Transportation Equipment Manufacturing,2003,$2 to $5 billion (USD)
103,"City and County of San Francisco
3.6","Sr. Research, Evaluation, & Data Analyst (1823)","San Francisco, CA","Who We Are. Join our team and help the Department of Children, Youth and Their Families (DCYF) make San Francisco a great place to grow up!",Unknown / Non-Applicable,Unknown,Government,Government & Public Administration,Regional Agencies,#N/A,Unknown / Non-Applicable
104,"WarnerMedia
3.9",Lead Data Scientist,"San Francisco, CA",,$10+ billion (USD),10000+ Employees,Company - Public,Media & Communication,Film Production,2003,$10+ billion (USD)
105,"Ford Motor Company
4.1",Research Scientist - Machine Learning for Computer Vision,"Palo Alto, CA","Ford’s Research and Advanced Engineering team explores new vehicle and societal innovations that require some level of invention before they can be applied to our products and services. The team is building on a history of Ford innovation, including our invention of the three-way catalytic converter to modernize vehicle emissions controls in the 1970s and the world’s first rear inflatable seat belts in 2010.",$10+ billion (USD),10000+ Employees,Company - Public,Manufacturing,Transportation Equipment Manufacturing,1903,$10+ billion (USD)
106,"CALICO
4.0",Senior/Principal Data Scientist,"South San Francisco, CA","Calico (Calico Life Sciences LLC) is an Alphabet-founded research and development company whose mission is to harness advanced technologies and model systems to increase our understanding of the biology that controls human aging. Calico will use that knowledge to devise interventions that enable people to lead longer and healthier lives. Calico’s highly innovative technology labs, its commitment to curiosity-driven discovery science and, with academic and industry partners, its vibrant drug-development pipeline, together create an inspiring and exciting place to catalyze and enable medical breakthroughs.",Unknown / Non-Applicable,201 to 500 Employees,Company - Private,Pharmaceutical & Biotechnology,Biotech & Pharmaceuticals,2013,Unknown / Non-Applicable
107,"Zoom Video Communications, Inc.
4.2",Machine Learning Engineer,"San Francisco, CA",,$5 to $25 million (USD),5001 to 10000 Employees,Company - Public,Information Technology,Information Technology Support Services,2011,$5 to $25 million (USD)
108,"C3 AI
4.1",Data Scientist / Senior Data Scientist,"Redwood City, CA","As a member of the C3 AI Data Science team, you will work with some of the largest companies on the planet helping them build the next generation of AI-powered enterprise applications on the C3 AI Suite (c3.ai/customers/). You will work directly with data scientists, software engineers, and subject matter experts in the definition of new analytics capabilities able to provide our customers with the information they need to make proper decisions and enable their digital transformation. You will help find the appropriate machine learning/data mining algorithms to answer those questions and implement those on the C3 AI Suite so they can run at scale.",$100 to $500 million (USD),501 to 1000 Employees,Company - Public,Information Technology,Enterprise Software & Network Solutions,2009,$100 to $500 million (USD)
109,Atomic AI,"Scientist, Machine Learning","South San Francisco, CA",Science,Unknown / Non-Applicable,1 to 50 Employees,Company - Private,Pharmaceutical & Biotechnology,Biotech & Pharmaceuticals,2021,Unknown / Non-Applicable
110,"Apixio
4.5",Senior Data Scientist,"San Mateo, CA","Apixio is advancing healthcare with data-driven intelligence and analytics. Our Artificial Intelligence platform gives organizations across the healthcare spectrum the power to mine clinical information at scale, creating novel insights that will change the way healthcare is measured, care is delivered, and discoveries are made.",$25 to $50 million (USD),51 to 200 Employees,Company - Private,Information Technology,Enterprise Software & Network Solutions,2009,$25 to $50 million (USD)
111,"Scribd
3.7",Senior Product Data Scientist,"San Francisco, CA",,$100 to $500 million (USD),201 to 500 Employees,Company - Private,Information Technology,Internet & Web Services,2007,$100 to $500 million (USD)
112,"Earnin
4.4",Data Scientist - Risk,"Palo Alto, CA","As one of the first pioneers of earned wage access, our passion at Earnin is building products that deliver real time financial flexibility for those with the unique needs of living paycheck to paycheck. Our community members access their earnings as they earn them, with options to spend, save, and grow their money without mandatory fees, interest rates, or credit checks. Since our founding, our app has been downloaded over 13M times and we have provided access to $10 billion in earnings.",Unknown / Non-Applicable,201 to 500 Employees,Company - Private,Information Technology,Information Technology Support Services,2012,Unknown / Non-Applicable
113,"Next Insurance
3.5","Data Scientist, Machine Learning (Risk)","Palo Alto, CA",,Unknown / Non-Applicable,501 to 1000 Employees,Company - Private,Insurance,Insurance Carriers,2016,Unknown / Non-Applicable
114,"Waymo
4.0","Software Engineer, Perception - Machine Learning Evaluation","Mountain View, CA","Software Engineering builds the brains of Waymo's fully autonomous driving technology. Our software allows the Waymo Driver to perceive the world around it, make the right decision for every situation, and deliver people safely to their destinations. We think deeply and solve complex technical challenges in areas like robotics, perception, decision-making and deep learning, while collaborating with hardware and systems engineers. If you’re a software engineer or researcher who’s curious and passionate about Level 4 autonomous driving, we'd like to meet you.",Unknown / Non-Applicable,Unknown,Company - Private,Information Technology,Computer Hardware Development,2009,Unknown / Non-Applicable
115,"Verkada
4.0",Senior Growth Data Scientist,"San Mateo, CA",,Unknown / Non-Applicable,1001 to 5000 Employees,Company - Private,Information Technology,Software Development,2016,Unknown / Non-Applicable
116,"ClassDojo
4.6",Senior Data Scientist/Product Analyst,"San Francisco, CA","We started by building a network that connects teachers, children, and families. ClassDojo's flagship app is the #1 communication app connecting K-8 teachers, children, and families, globally. They use it to share what's happening throughout the day through photos, videos, messages, and activities. It is actively used at an unprecedented scale: in over 95% of US schools, reaching ~51 million children in ~180 countries. We are now beginning to use this network to give kids the best learning experiences in the world, far beyond those a standard school can provide.",Unknown / Non-Applicable,51 to 200 Employees,Company - Private,Information Technology,Internet & Web Services,2011,Unknown / Non-Applicable
117,"Cash App
4.5","Senior Product Data Scientist, Crypto","San Francisco, CA","It all started with an idea at Block in 2013. Initially built to take the pain out of peer-to-peer payments, Cash App has gone from a simple product with a single purpose to a dynamic app, bringing a better way to send, spend, invest, borrow and save to our millions of monthly active users. With a mission to redefine the world's relationship with money by making it more relatable, instantly available and universally accessible, at Cash App you'll have the opportunity to make a real-world impact with your career.

Today, Cash App has thousands of employees around the world with a culture geared toward creativity, collaboration and impact. We’ve been a distributed team since day one, and continue to value working across time zones and continents both remotely and in our Cash App offices.

Our offices are great, but many of our roles can be done remotely from the countries where Block operates. We tailor our experience to champion our employees’ creativity and productivity wherever they are.

Check out our locations, benefits and more at cash.app/careers.",Unknown / Non-Applicable,1001 to 5000 Employees,Company - Public,Information Technology,Computer Hardware Development,2013,Unknown / Non-Applicable
118,"Microsoft
4.4",Principal Applied Data Scientist,"Mountain View, CA","Microsoft Yammer and Viva Engage is the industry-defining social network for the enterprise. Millions of employees, including 85% of Fortune 500 companies use Yammer every day, to build community and culture, share knowledge, and connect with their leaders and each other.",$10+ billion (USD),10000+ Employees,Company - Public,Information Technology,Computer Hardware Development,1975,$10+ billion (USD)
119,"Windfall
4.4",Data Scientist (Varying Levels),"San Francisco, CA",,Unknown / Non-Applicable,51 to 200 Employees,Company - Private,Media & Communication,Advertising & Public Relations,2016,Unknown / Non-Applicable
120,"Apple
4.2",Senior Deep Learning Compiler Engineer,"Cupertino, CA","Posted: Oct 17, 2022
Role Number:200436475
We live in a mobile and device driven world, where Deep Learning technology enables a new class of applications. Are you passionate about enabling unique user experience such as Face ID, Animoji, AR games? Imagine the countless possibilities powered by Artificial Intelligence. In the Video Engineering team, we are dedicated in providing hardware acceleration using the new proprietary Apple Neural Engine SOC to enable real time, low power and high performance execution of Deep Learning workloads. Our success is the result of very talented people working in an environment which cultivates creativity, partnership and cross functional collaboration. These elements come together to make Apple an amazing environment for motivated people to do the greatest work of their lives. Will you help us design the next generation of revolutionary Apple Products?",$10+ billion (USD),10000+ Employees,Company - Public,Information Technology,Computer Hardware Development,1976,$10+ billion (USD)
121,"Uber
4.0",Senior Data Scientist - Platform Engineering,"San Francisco, CA","As a Senior Data Scientist in the Platform Engineering organization, you get to use your quantitative skill, obsession, and empathy towards customers, and collaborative spirit to work closely with Product Management, Engineering, and fellow Data Scientists to provide data-driven insights to find new opportunities to take our development experience to the next level.",$10+ billion (USD),10000+ Employees,Company - Public,Information Technology,Internet & Web Services,2009,$10+ billion (USD)
122,"Wayfair
3.3","Machine Learning Scientist, Personalization","Mountain View, CA","Wayfair Science powers automation and decision support across all Wayfair business units. Our algorithms tackle a varied and broad spectrum of challenges in the Wayfair marketplace; from empowering suppliers to easily add products to our catalog, to enabling our customers to discover and purchase a vast and diverse assortment of home goods.",$5 to $10 billion (USD),10000+ Employees,Company - Public,Retail & Wholesale,Home Furniture & Housewares Stores,2002,$5 to $10 billion (USD)
